Type,Authors,Title,Year,Electronic-resource-num,Abstract,Periodical,Paper_id
ALL,"Shamroe, Caitlin L., Comeau, Jill M.",Ponatinib: A New Tyrosine Kinase Inhibitor for the Treatment of Chronic Myeloid Leukemia and Philadelphia Chromosome-Positive Acute Lymphoblastic Leukemia,2013,10.1177&#x2F;1060028013501144,"Objective: To review the pharmacology, pharmacokinetics, clinical trials, adverse effects, and formulary considerations of ponatinib, a pan-tyrosine kinase inhibitor (TKI). Data Sources: A literature search of articles published between January 1966 and June 2013 was performed using PubMed with the following search terms: ponatinib, AP24534, and Iclusig. ARIAD Pharmaceuticals, Inc, was contacted for unpublished information. Other sources included American Society of Hematology abstracts, the Food and Drug Administration Center for Drug Evaluation and Research Web site, and clinicaltrials.gov. Study Selection&#x2F;Data Extraction: Included articles and abstracts were published in English and contain information about ponatinib, particularly in the treatment of chronic myeloid leukemia (CML) or Philadelphia chromosome-positive (Ph+) acute lymphoblastic leukemia (ALL). Data Synthesis: Following the phase II PACE trial, ponatinib was approved for the treatment of patients with chronic-phase (CP), accelerated-phase (AP), or blast-phase (BP) CML or Ph+ ALL who have become intolerant or resistant to previous therapy. Unlike other BCR-ABL TKIs, ponatinib was designed to overcome the T315I mutation. At 15.3 months, 46% of patients with CP-CML achieved a complete cytogenetic response, and 34% achieved a major molecular response. Complete hematologic responses occurred in 47% of patients with AP-CML, 21% with BP-CML, and 34% with Ph+ ALL after 1 year. Severe toxicities included myelosuppression, hepatotoxicity, pancreatitis, and arterial thrombosis. Conclusions: Ponatinib is a potent TKI that can overcome several resistance mechanisms in previously treated patients with CML and Ph+ ALL. Ponatinib should be reserved for patients who have failed first-line therapy, have the T315I mutation, or have progressed. © The Author(s) 2013.",Annals of Pharmacotherapy,1
ALL,"Schrappe, Martin",Detection and management of minimal residual disease in acute lymphoblastic leukemia,2014,10.1182&#x2F;asheducation-2014.1.244,"The detection of minimal residual disease (MRD) has become part of the state-of-the-art diagnostics to guide treatment both in pediatric and adult acute lymphoblastic leukemia (ALL). This applies to the treatment of de novo and recurrent ALL. In high-risk ALL, MRD detection is considered an important tool to adjust therapy before and after hematopoietic stem cell transplantation. Precise quantification and quality control is instrumental to avoid false treatment assignment. A new methodological approach to analyzing MRD has become available and is based on next-generation sequencing. In principle, this technique will be able to detect a large number of leukemic subclones at a much higher speed than before. Carefully designed prospective studies need to demonstrate concordance or even superiority compared with those techniques in use right now: detection of aberrant expression of leukemia-specific antigens by flow cytometry of blood or bone marrow, or detection of specific rearrangements of the T-cell receptor or immunoglobulin genes by real-time quantitative polymerase chain reaction using DNA of leukemic cells. In some cases with known fusion genes, such as BCR&#x2F;ABL, reverse transcriptase-polymerase chain reaction has been used as additional method to identify leukemic cells by analyzing RNA in patient samples. MRD detection may be used to modulate treatment intensity once it has been demonstrated at well-defined informative checkpoints that certain levels of MRD can reliably predict the risk of relapse. In addition, MRD is used as end point to determine the activity of a given agent or treatment protocol. If activity translates into antileukemic efficacy, MRD may be considered a surrogate clinical end point.",Hematology (United States),2
ALL,"Schrappe, Martin",Detection and management of minimal residual disease in acute lymphoblastic leukemia,2014,10.1182&#x2F;asheducation-2014.1.244,"The detection of minimal residual disease (MRD) has become part of the state-of-the-art diagnostics to guide treatment both in pediatric and adult acute lymphoblastic leukemia (ALL). This applies to the treatment of de novo and recurrent ALL. In high-risk ALL, MRD detection is considered an important tool to adjust therapy before and after hematopoietic stem cell transplantation. Precise quantification and quality control is instrumental to avoid false treatment assignment. A new methodological approach to analyzing MRD has become available and is based on next-generation sequencing. In principle, this technique will be able to detect a large number of leukemic subclones at a much higher speed than before. Carefully designed prospective studies need to demonstrate concordance or even superiority compared with those techniques in use right now: detection of aberrant expression of leukemia-specific antigens by flow cytometry of blood or bone marrow, or detection of specific rearrangements of the T-cell receptor or immunoglobulin genes by real-time quantitative polymerase chain reaction using DNA of leukemic cells. In some cases with known fusion genes, such as BCR&#x2F;ABL, reverse transcriptase-polymerase chain reaction has been used as additional method to identify leukemic cells by analyzing RNA in patient samples. MRD detection may be used to modulate treatment intensity once it has been demonstrated at well-defined informative checkpoints that certain levels of MRD can reliably predict the risk of relapse. In addition, MRD is used as end point to determine the activity of a given agent or treatment protocol. If activity translates into antileukemic efficacy, MRD may be considered a surrogate clinical end point.",Hematology (United States),3
ALL,"Kumar, Kuldeep, Kaur, Jagjeet, Walia, Shefali, Pathak, Teena,  Aggarwal, Diwakar",L-asparaginase: An effective agent in the treatment of acute lymphoblastic leukemia,2014,10.3109&#x2F;10428194.2013.803224,"L-asparaginase (L-ASNase) is an enzyme used most effectively in the treatment of acute lymphoblastic leukemia (ALL) for more than 30 years. It catalyzes the hydrolysis of amino acid L-asparagine to aspartic acid and ammonia, which leads to cell death. Clinical trials have been conducted using L-ASNase in combination with other drugs and radiotherapy, which have led to great success in the treatment of ALL. Treatments consist of induction therapy and central nervous system therapy. The achievement of complete remission in patients is associated with a few side-effects of using L-asparaginase, including pancreatitis, coagulation abnormalities and allergic reactions. Sometimes tumor cells may develop resistance to L-ASNase. To overcome these difficulties, the drug is modified by pegylation or immobilization, and also treatment protocols can be modified to increase the efficiency of the drug. © 2014 Informa UK, Ltd.",Leukemia and Lymphoma,4
ALL,"Chen, Shih Hsiang",Asparaginase Therapy in Pediatric Acute Lymphoblastic Leukemia: A Focus on the Mode of Drug Resistance,2015,10.1016&#x2F;j.pedneo.2014.10.006,"Asparaginase is one of the most important chemotherapeutic agents against pediatric acute lymphoblastic leukemia (ALL), the most common form of childhood cancer. The therapeutic efficacy (e.g., chemoresistance) and adverse effects of asparaginase (e.g., hypersensivity and pancreatitis) have been investigated over the past four decades. It was suggested early on that leukemic cells are resistant to asparaginase because of their increased asparagine synthetase activity. Afterward, other mechanisms associated with asparaginase resistance were reported. Not only leukemic cells but also patients themselves may play a role in causing asparaginase resistance, which has been associated with unfavorable outcome in children with ALL. This article will briefly review asparaginase therapy in children with ALL and comprehensively analyze recent reports on the potential mechanisms of asparaginase resistance.",Pediatrics and Neonatology,5
ALL,"Burke, Michael J.",How to manage asparaginase hypersensitivity in acute lymphoblastic leukemia,2014,10.2217&#x2F;fon.14.138,"Outcomes for children with acute lymphoblastic leukemia (ALL) have improved significantly in recent decades, primarily due to dose-intensified, multi-agent chemotherapy regimens, of which asparaginase has played a prominent role. Despite this success, hypersensitivity remains a significant problem, often requiring the termination of asparaginase. Failure to complete the entire asparaginase therapy course due to clinical hypersensitivity, subclinical hypersensitivity (i.e., silent inactivation), or other treatment-related toxicity is associated with poor ALL outcomes. Thus, it is critical to rapidly identify patients who develop clinical&#x2F;subclinical hypersensitivity and switch these patients to an alternate asparaginase formulation. This article provides an overview of asparaginase hypersensitivity, identification and management of hypersensitivity and subclinical hypersensitivity, and issues related to switching patients to asparaginase Erwinia chrysanthemi following hypersensitivity reaction.",Future Oncology,6
ALL,"Bhatla, Teena, Jones, Courtney L., Meyer, Julia A., Vitanza, Nicholas A., Raetz, Elizabeth A., Carroll, William L.",The biology of relapsed acute lymphoblastic leukemia: Opportunities for therapeutic interventions,2014,10.1097&#x2F;MPH.0000000000000179,"Although great strides have been made in the improvement of outcome for newly diagnosed pediatric acute lymphoblastic leukemia because of refinements in risk stratification and selective intensification of therapy, the prognosis for relapsed leukemia has lagged behind significantly. Understanding the underlying biological pathways responsible for drug resistance is essential to develop novel approaches for the prevention of recurrence and treatment of relapsed disease. High throughput genomic technologies have the potential to revolutionize cancer care in this era of personalized medicine. Using such advanced technologies, we and others have shown that a diverse assortment of cooperative genetic and epigenetic events drive the resistant phenotype. Herein, we summarize results using a variety of genomic technologies to highlight the power of this methodology in providing insight into the biological mechanisms that impart resistant disease. Copyright © 2014 by Lippincott Williams &amp; Wilkins.",Journal of Pediatric Hematology&#x2F;Oncology,7
ALL,"Mullighan, Charles G.",Genomic characterization of childhood acute lymphoblastic leukemia,2013,10.1053&#x2F;j.seminhematol.2013.10.001,"Acute lymphoblastic leukemia (ALL) is the most common childhood malignancy and a leading case of childhood cancer death. The last decade has witnessed a transformation in our understanding of the genetic basis of ALL due to detailed integrative genomic profiling of large cohorts of childhood ALL. Initially using microarray based approaches, and more recently with next-generation sequencing, these studies have enabled more precise subclassification of ALL, and have shown that each ALL entity is characterized by constellations of structural and sequence mutations that typically perturb key cellular pathways including lymphoid development, cell cycle regulation, tumor suppression, Ras- and tyrosine kinase-driven signaling, and epigenetic regulation. Importantly, several of the newly identified genetic alterations have entered the clinic to improve diagnosis and risk stratification, and are being pursued as new targets for therapeutic intervention. Studies of ALL have also led the way in dissecting the subclonal heterogeneity of cancer, and have shown that individual patients commonly harbor multiple related but genetically distinct subclones, and that this genetically determined clonal heterogeneity is an important determinant of relapse. In addition, genome-wide profiling has identified inherited genetic variants that influence ALL risk. Ongoing studies are deploying detailed integrative genetic transcriptomic and epigenetic sequencing to comprehensively define the genomic landscape of ALL. This review describes the recent advances in our understanding of the genetics of ALL, with an emphasis on those alterations of key pathogenic or therapeutic importance. © 2013 Elsevier Inc.",Seminars in Hematology,8
ALL,"Parikh, Sameer A., Litzow, Mark R.",Philadelphia chromosome-negative acute lymphoblastic leukemia: Therapies under development,2014,10.2217&#x2F;fon.14.81,"Although the prognosis of adults with Philadelphia chromosome-negative acute lymphoblastic leukemia (ALL) has steadily improved over the past decade, less than 50% of patients maintain their remission at 5 years. Several approaches have been explored in the past few years including: monoclonal antibodies-either &#39;naked&#39; (rituximab) or in combination with an immunotoxin (calicheamicin or maytansin), plant toxin (ricin), or bacterial toxin (Pseudomonas or diphtheria), and a novel bispecific T-cell-engaging antibody (blinatumomab); chimeric antigen therapy using autologous T cells that target CD19-expressing ALL; and novel agents such as proteasome inhibitors, liposomal vincristine, hypomethylating agents, nelarabine and NOTCH1 inhibitors. This review summarizes treatment approaches currently under investigation for the treatment of adult Philadelphia chromosome-negative ALL.",Future Oncology,9
ALL,"Lopez-Lopez, Elixabet, Gutierrez-Camino, Angela, Bilbao-Aldaiturriaga, Nerea, Pombar-Gomez, Maria, Martin-Guerrero, Idoia, Garcia-Orad, Africa",Pharmacogenetics of childhood acute lymphoblastic leukemia,2014,10.2217&#x2F;pgs.14.106,"Acute lymphoblastic leukemia (ALL) is the major pediatric cancer in developed countries. Although treatment outcome has improved owing to advances in chemotherapy, there is still a group of patients for which therapy fails while some patients experience severe toxicity. In the last few years, several pharmacogenetic studies have been performed to search for markers of outcome and toxicity in pediatric ALL. However, to date, TPMT is the only pharmacogenetic marker in ALL with clinical guidelines for drug dosing. In this article, we will provide an overview of the most important findings carried out in pharmacogenetics for pediatric ALL, such as the interest drawn by methotrexate transporters in the context of methotrexate treatment. Even if most of the studies are centered on coding genes, we will also point to new approaches focusing on noncoding regions and epigenetic variation that could be interesting for consideration in the near future. © 2014 Future Medicine Ltd.",Pharmacogenomics,10
